[2026-04-01 15:27:29.229] [info]    : Logger initialized with level: info
[2026-04-01 15:27:29.473] [info]    : Config loaded: /Users/dashygo/Dev/Hardware/RISC/sims/../build/config.json
[2026-04-01 15:27:29.473] [info]    : DEMU Simulator Initializing...
[2026-04-01 15:27:29.473] [info] hal: --- Device Map Summary ---
[2026-04-01 15:27:29.473] [info] hal: Active Devices: 4 / 4 ports
[2026-04-01 15:27:29.473] [info] hal: Port  0: imem                 [0x00000000 - 0x0003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  2: uart                 [0x10000000 - 0x10000FFF] (    4096 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  3: clint                [0x20000000 - 0x2000FFFF] (   65536 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  1: dmem                 [0x80000000 - 0x8003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info]    : Resetting...
[2026-04-01 15:27:29.476] [info]    : System Reset Complete. PC: 0x00000000
[2026-04-01 15:27:29.476] [info]    : ELF segment: .text@0x00000000 addr=0x00000000 filesz=0x4e64 memsz=0x4e64
[2026-04-01 15:27:29.476] [info]    : ELF segment: .data@0x80000000 addr=0x80000000 filesz=0x58 memsz=0x40c
[2026-04-01 15:27:29.476] [info]    : Parsed 2 loadable segments, entry=0x00000000
[2026-04-01 15:27:29.476] [info]    : ELF entry point: 0x00000000, 2 loadable sections
[2026-04-01 15:27:29.476] [info]    : Loaded section '.text@0x00000000' at 0x00000000 (20068 bytes)
[2026-04-01 15:27:29.476] [info]    : Loaded section '.data@0x80000000' at 0x80000000 (88 bytes)
[2026-04-01 15:27:29.476] [info]    : ELF loaded successfully. Entry: 0x00000000
[2026-04-01 15:27:29.476] [info]    : Starting DEMU Simulation...
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     26 | PC=0x00000000 | Inst=0x30001073 (csrrw   x0, x0, 0x300)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     28 | PC=0x00000004 | Inst=0x30401073 (csrrw   x0, x0, 0x304)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     30 | PC=0x00000008 | Inst=0x80040117 (auipc   x2, 0x80040000)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     32 | PC=0x0000000c | Inst=0xff810113 (addi    x2, x2, -8)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     34 | PC=0x00000010 | Inst=0x00000413 (addi    x8, x0, 0)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     36 | PC=0x00000014 | Inst=0x80000297 (auipc   x5, 0x80000000)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     38 | PC=0x00000018 | Inst=0x04428293 (addi    x5, x5, 68)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     40 | PC=0x0000001c | Inst=0x80000317 (auipc   x6, 0x80000000)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     42 | PC=0x00000020 | Inst=0x3b430313 (addi    x6, x6, 948)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     44 | PC=0x00000024 | Inst=0x00628863 (beq     x5, x6, 16)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     56 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     58 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     84 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     86 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     96 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     98 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle     99 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle    102 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.476] [info]    : RETIRE | Cycle    104 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    105 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    108 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.477] [info]    : RETIRE | Cycle    110 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
